timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-29,23275.5000,23275.5000,23275.5000,23275.5000,23275.5000,0,0.0000,1.0000
2020-09-28,23476.0996,23476.0996,23476.0996,23476.0996,23476.0996,0,0.0000,1.0000
2020-09-24,23311.0996,23311.0996,23311.0996,23311.0996,23311.0996,0,0.0000,1.0000
2020-09-23,23742.5000,23742.5000,23742.5000,23742.5000,23742.5000,0,0.0000,1.0000
2020-09-22,23716.8008,23716.8008,23716.8008,23716.8008,23716.8008,0,0.0000,1.0000
2020-09-21,23950.6992,23950.6992,23950.6992,23950.6992,23950.6992,0,0.0000,1.0000
2020-09-18,24455.4004,24455.4004,24455.4004,24455.4004,24455.4004,0,0.0000,1.0000
2020-09-17,24340.8008,24340.8008,24340.8008,24340.8008,24340.8008,0,0.0000,1.0000
2020-09-16,24725.5996,24725.5996,24725.5996,24725.5996,24725.5996,0,0.0000,1.0000
2020-09-15,24732.8008,24732.8008,24732.8008,24732.8008,24732.8008,0,0.0000,1.0000
2020-09-14,24640.3008,24640.3008,24640.3008,24640.3008,24640.3008,0,0.0000,1.0000
2020-09-11,24503.3008,24503.3008,24503.3008,24503.3008,24503.3008,0,0.0000,1.0000
2020-09-10,24313.5000,24313.5000,24313.5000,24313.5000,24313.5000,0,0.0000,1.0000
2020-09-09,24468.9004,24468.9004,24468.9004,24468.9004,24468.9004,0,0.0000,1.0000
2020-09-08,24624.3008,24624.3008,24624.3008,24624.3008,24624.3008,0,0.0000,1.0000
2020-09-04,24695.4004,24695.4004,24695.4004,24695.4004,24695.4004,0,0.0000,1.0000
2020-09-03,25007.5996,25007.5996,25007.5996,25007.5996,25007.5996,0,0.0000,1.0000
2020-09-02,25120.0996,25120.0996,25120.0996,25120.0996,25120.0996,0,0.0000,1.0000
2020-09-01,25184.8008,25184.8008,25184.8008,25184.8008,25184.8008,0,0.0000,1.0000
2020-08-31,25177.0996,25177.0996,25177.0996,25177.0996,25177.0996,0,0.0000,1.0000
2020-08-28,25422.0996,25422.0996,25422.0996,25422.0996,25422.0996,0,0.0000,1.0000
2020-08-27,25281.1992,25281.1992,25281.1992,25281.1992,25281.1992,0,0.0000,1.0000
2020-08-26,25491.8008,25491.8008,25491.8008,25491.8008,25491.8008,0,0.0000,1.0000
2020-08-25,25486.1992,25486.1992,25486.1992,25486.1992,25486.1992,0,0.0000,1.0000
2020-08-24,25551.5996,25551.5996,25551.5996,25551.5996,25551.5996,0,0.0000,1.0000
2020-08-21,25113.8008,25113.8008,25113.8008,25113.8008,25113.8008,0,0.0000,1.0000
2020-08-20,24791.4004,24791.4004,24791.4004,24791.4004,24791.4004,0,0.0000,1.0000
2020-08-19,25178.9004,25178.9004,25178.9004,25178.9004,25178.9004,0,0.0000,1.0000
2020-08-18,25367.4004,25367.4004,25367.4004,25367.4004,25367.4004,0,0.0000,1.0000
2020-08-17,25347.3008,25347.3008,25347.3008,25347.3008,25347.3008,0,0.0000,1.0000
2020-08-14,25183.0000,25183.0000,25183.0000,25183.0000,25183.0000,0,0.0000,1.0000
2020-08-13,25230.6992,25230.6992,25230.6992,25230.6992,25230.6992,0,0.0000,1.0000
2020-08-12,25244.0000,25244.0000,25244.0000,25244.0000,25244.0000,0,0.0000,1.0000
2020-08-11,24890.6992,24890.6992,24890.6992,24890.6992,24890.6992,0,0.0000,1.0000
2020-08-10,24377.4004,24377.4004,24377.4004,24377.4004,24377.4004,0,0.0000,1.0000
2020-08-07,24531.5996,24531.5996,24531.5996,24531.5996,24531.5996,0,0.0000,1.0000
2020-08-06,24930.5996,24930.5996,24930.5996,24930.5996,24930.5996,0,0.0000,1.0000
2020-08-05,25102.5000,25102.5000,25102.5000,25102.5000,25102.5000,0,0.0000,1.0000
2020-08-04,24946.5996,24946.5996,24946.5996,24946.5996,24946.5996,0,0.0000,1.0000
2020-08-03,24458.0996,24458.0996,24458.0996,24458.0996,24458.0996,0,0.0000,1.0000
2020-07-31,24595.3008,24595.3008,24595.3008,24595.3008,24595.3008,0,0.0000,1.0000
2020-07-30,24710.5996,24710.5996,24710.5996,24710.5996,24710.5996,0,0.0000,1.0000
2020-07-29,24883.0996,24883.0996,24883.0996,24883.0996,24883.0996,0,0.0000,1.0000
2020-07-28,24772.8008,24772.8008,24772.8008,24772.8008,24772.8008,0,0.0000,1.0000
