timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-09-25,2.5000,2.5000,2.5000,2.5000,2.5000,0,0.0000,1.0000
2017-09-22,2.3000,2.5000,2.0700,2.5000,2.5000,4401,0.0000,1.0000
2017-09-21,2.3000,2.3000,2.3000,2.3000,2.3000,18,0.0000,1.0000
2017-09-20,2.3800,2.3800,2.3800,2.3800,2.3800,10,0.0000,1.0000
2017-09-19,2.4000,2.6000,2.3100,2.3800,2.3800,1686,0.0000,1.0000
2017-09-18,2.5100,2.5400,2.5100,2.5300,2.5300,26725,0.0000,1.0000
2017-09-15,2.7000,2.7000,2.5100,2.5100,2.5100,43429,0.0000,1.0000
2017-09-14,2.8000,2.8000,2.8000,2.8000,2.8000,0,0.0000,1.0000
2017-09-13,2.8900,2.9000,2.8000,2.8000,2.8000,2116,0.0000,1.0000
2017-09-12,2.0100,2.9900,2.0100,2.9900,2.9900,5956,0.0000,1.0000
2017-09-11,3.1500,3.1500,3.1500,3.1500,3.1500,0,0.0000,1.0000
2017-09-08,3.1500,3.1500,3.1500,3.1500,3.1500,0,0.0000,1.0000
2017-09-07,3.1500,3.1500,3.1500,3.1500,3.1500,0,0.0000,1.0000
2017-09-06,3.0000,3.1500,3.0000,3.1500,3.1500,8094,0.0000,1.0000
2017-09-05,2.7000,3.0700,2.7000,3.0700,3.0700,9219,0.0000,1.0000
2017-09-01,3.4600,3.4600,3.4600,3.4600,3.4600,0,0.0000,1.0000
2017-08-31,3.0700,3.4800,3.0700,3.4600,3.4600,60338,0.0000,1.0000
2017-08-30,3.5000,3.5000,3.5000,3.5000,3.5000,465,0.0000,1.0000
2017-08-29,2.1100,3.5000,2.1100,3.1700,3.1700,22424,0.0000,1.0000
2017-08-28,2.7500,3.1700,2.7500,3.1500,3.1500,1164,0.0000,1.0000
2017-08-25,3.1700,3.1700,3.1700,3.1700,3.1700,3079,0.0000,1.0000
2017-08-24,3.0100,3.1300,3.0100,3.0100,3.0100,15538,0.0000,1.0000
2017-08-23,3.2000,3.2000,3.2000,3.2000,3.2000,3240,0.0000,1.0000
2017-08-22,3.0100,3.0100,3.0100,3.0100,3.0100,515,0.0000,1.0000
2017-08-21,3.2000,3.2000,3.2000,3.2000,3.2000,0,0.0000,1.0000
2017-08-18,3.2000,3.2000,3.2000,3.2000,3.2000,0,0.0000,1.0000
2017-08-17,3.1100,3.2000,3.1100,3.2000,3.2000,3991,0.0000,1.0000
2017-08-16,3.1200,3.1200,3.1200,3.1200,3.1200,9,0.0000,1.0000
2017-08-15,3.0200,3.0200,3.0200,3.0200,3.0200,292,0.0000,1.0000
2017-08-14,3.2500,3.2600,3.2000,3.2000,3.2000,6238,0.0000,1.0000
2017-08-11,3.0200,3.2000,3.0200,3.1000,3.1000,354,0.0000,1.0000
2017-08-10,3.6000,3.6000,3.6000,3.6000,3.6000,3640,0.0000,1.0000
2017-08-09,3.1000,3.1000,3.1000,3.1000,3.1000,0,0.0000,1.0000
2017-08-08,3.1000,3.1000,3.1000,3.1000,3.1000,28,0.0000,1.0000
2017-08-07,3.6000,3.6000,3.6000,3.6000,3.6000,1,0.0000,1.0000
2017-08-04,3.6900,3.6900,3.1000,3.6900,3.6900,14993,0.0000,1.0000
2017-08-03,3.8900,3.8900,3.6900,3.6900,3.6900,1129,0.0000,1.0000
